"coord. (T1, T2, T3)",n_right,n_left,D-LR,g-test,p-value(g-test),index
main subtriangle,4336,6967,-0.233,,0.000,NA
"[(0.0, 0.1), (0.0, 0.1), (0.9, 1.0)]",0,0,,,,45
"[(0.0, 0.1), (0.0, 0.1), (0.8, 0.9)]",0,7,-1.000,9.704,0.002,44
"[(0.0, 0.1), (0.1, 0.2), (0.8, 0.9)]",0,0,,,,43
"[(0.0, 0.1), (0.1, 0.2), (0.7, 0.8)]",0,2,-1.000,2.773,0.096,42
"[(0.0, 0.1), (0.2, 0.3), (0.7, 0.8)]",0,0,,,,41
"[(0.0, 0.1), (0.2, 0.3), (0.6, 0.7)]",0,0,,,,40
"[(0.0, 0.1), (0.3, 0.4), (0.6, 0.7)]",3,0,1.000,4.159,0.041,39
"[(0.0, 0.1), (0.3, 0.4), (0.5, 0.6)]",0,9,-1.000,12.477,0.000,38
"[(0.0, 0.1), (0.4, 0.5), (0.5, 0.6)]",0,1,-1.000,1.386,0.239,37
"[(0.1, 0.2), (0.0, 0.1), (0.8, 0.9)]",0,5,-1.000,6.931,0.008,36
"[(0.1, 0.2), (0.0, 0.1), (0.7, 0.8)]",0,27,-1.000,37.430,0.000,35
"[(0.1, 0.2), (0.1, 0.2), (0.7, 0.8)]",0,25,-1.000,34.657,0.000,34
"[(0.1, 0.2), (0.1, 0.2), (0.6, 0.7)]",9,87,-0.812,73.347,0.000,33
"[(0.1, 0.2), (0.2, 0.3), (0.6, 0.7)]",5,60,-0.846,54.855,0.000,32
"[(0.1, 0.2), (0.2, 0.3), (0.5, 0.6)]",37,118,-0.523,44.503,0.000,31
"[(0.1, 0.2), (0.3, 0.4), (0.5, 0.6)]",15,63,-0.615,31.761,0.000,30
"[(0.1, 0.2), (0.3, 0.4), (0.4, 0.5)]",46,98,-0.361,19.209,0.000,29
"[(0.2, 0.3), (0.0, 0.1), (0.7, 0.8)]",0,4,-1.000,5.545,0.019,28
"[(0.2, 0.3), (0.0, 0.1), (0.6, 0.7)]",3,8,-0.455,2.358,0.125,27
"[(0.2, 0.3), (0.1, 0.2), (0.6, 0.7)]",16,49,-0.508,17.560,0.000,26
"[(0.2, 0.3), (0.1, 0.2), (0.5, 0.6)]",51,123,-0.414,30.708,0.000,25
"[(0.2, 0.3), (0.2, 0.3), (0.5, 0.6)]",184,300,-0.240,28.074,0.000,24
"[(0.2, 0.3), (0.2, 0.3), (0.4, 0.5)]",468,914,-0.323,,0.000,23
"[(0.2, 0.3), (0.3, 0.4), (0.4, 0.5)]",496,576,-0.075,5.976,0.015,22
"[(0.3, 0.4), (0.0, 0.1), (0.6, 0.7)]",1,0,1.000,1.386,0.239,21
"[(0.3, 0.4), (0.0, 0.1), (0.5, 0.6)]",2,10,-0.667,5.822,0.016,20
"[(0.3, 0.4), (0.1, 0.2), (0.5, 0.6)]",16,60,-0.579,27.131,0.000,19
"[(0.3, 0.4), (0.1, 0.2), (0.4, 0.5)]",35,99,-0.478,31.850,0.000,18
"[(0.3, 0.4), (0.2, 0.3), (0.4, 0.5)]",263,827,-0.517,,0.000,17
"[(0.3, 0.4), (0.2, 0.3), (0.3, 0.4)]",697,1040,-0.197,68.178,0.000,16
"[(0.4, 0.5), (0.0, 0.1), (0.5, 0.6)]",0,0,,,,15
"[(0.4, 0.5), (0.0, 0.1), (0.4, 0.5)]",0,3,-1.000,4.159,0.041,14
"[(0.4, 0.5), (0.1, 0.2), (0.4, 0.5)]",2,27,-0.862,25.647,0.000,13
"[(0.4, 0.5), (0.1, 0.2), (0.3, 0.4)]",25,49,-0.324,7.926,0.005,12
"[(0.4, 0.5), (0.2, 0.3), (0.3, 0.4)]",276,370,-0.146,13.727,0.000,11
"[(0.5, 0.6), (0.0, 0.1), (0.4, 0.5)]",0,0,,,,10
"[(0.5, 0.6), (0.0, 0.1), (0.3, 0.4)]",0,0,,,,9
"[(0.5, 0.6), (0.1, 0.2), (0.3, 0.4)]",8,14,-0.273,1.657,0.198,8
"[(0.5, 0.6), (0.1, 0.2), (0.2, 0.3)]",32,41,-0.123,1.112,0.292,7
"[(0.6, 0.7), (0.0, 0.1), (0.3, 0.4)]",0,0,,,,6
"[(0.6, 0.7), (0.0, 0.1), (0.2, 0.3)]",0,0,,,,5
"[(0.6, 0.7), (0.1, 0.2), (0.2, 0.3)]",3,7,-0.400,1.646,0.200,4
"[(0.7, 0.8), (0.0, 0.1), (0.2, 0.3)]",0,0,,,,3
"[(0.7, 0.8), (0.0, 0.1), (0.1, 0.2)]",0,0,,,,2
"[(0.8, 0.9), (0.0, 0.1), (0.1, 0.2)]",0,0,,,,1
