"coord. (T1, T2, T3)",n_right,n_left,D-LR,g-test,p-value(g-test),index
main subtriangle,237,237,0.000,-0.000,1.000,NA
"[(0.0, 0.1), (0.0, 0.1), (0.9, 1.0)]",1,0,1.000,1.386,0.239,45
"[(0.0, 0.1), (0.0, 0.1), (0.8, 0.9)]",0,1,-1.000,1.386,0.239,44
"[(0.0, 0.1), (0.1, 0.2), (0.8, 0.9)]",0,0,,,,43
"[(0.0, 0.1), (0.1, 0.2), (0.7, 0.8)]",0,1,-1.000,1.386,0.239,42
"[(0.0, 0.1), (0.2, 0.3), (0.7, 0.8)]",1,0,1.000,1.386,0.239,41
"[(0.0, 0.1), (0.2, 0.3), (0.6, 0.7)]",0,0,,,,40
"[(0.0, 0.1), (0.3, 0.4), (0.6, 0.7)]",0,0,,,,39
"[(0.0, 0.1), (0.3, 0.4), (0.5, 0.6)]",0,0,,,,38
"[(0.0, 0.1), (0.4, 0.5), (0.5, 0.6)]",0,0,,,,37
"[(0.1, 0.2), (0.0, 0.1), (0.8, 0.9)]",0,1,-1.000,1.386,0.239,36
"[(0.1, 0.2), (0.0, 0.1), (0.7, 0.8)]",0,1,-1.000,1.386,0.239,35
"[(0.1, 0.2), (0.1, 0.2), (0.7, 0.8)]",1,2,-0.333,0.340,0.560,34
"[(0.1, 0.2), (0.1, 0.2), (0.6, 0.7)]",1,0,1.000,1.386,0.239,33
"[(0.1, 0.2), (0.2, 0.3), (0.6, 0.7)]",1,0,1.000,1.386,0.239,32
"[(0.1, 0.2), (0.2, 0.3), (0.5, 0.6)]",2,4,-0.333,0.680,0.410,31
"[(0.1, 0.2), (0.3, 0.4), (0.5, 0.6)]",0,2,-1.000,2.773,0.096,30
"[(0.1, 0.2), (0.3, 0.4), (0.4, 0.5)]",0,1,-1.000,1.386,0.239,29
"[(0.2, 0.3), (0.0, 0.1), (0.7, 0.8)]",2,2,0.000,-0.000,1.000,28
"[(0.2, 0.3), (0.0, 0.1), (0.6, 0.7)]",1,2,-0.333,0.340,0.560,27
"[(0.2, 0.3), (0.1, 0.2), (0.6, 0.7)]",2,4,-0.333,0.680,0.410,26
"[(0.2, 0.3), (0.1, 0.2), (0.5, 0.6)]",4,3,0.143,0.143,0.705,25
"[(0.2, 0.3), (0.2, 0.3), (0.5, 0.6)]",1,5,-0.667,2.911,0.088,24
"[(0.2, 0.3), (0.2, 0.3), (0.4, 0.5)]",5,10,-0.333,1.699,0.192,23
"[(0.2, 0.3), (0.3, 0.4), (0.4, 0.5)]",4,4,0.000,-0.000,1.000,22
"[(0.3, 0.4), (0.0, 0.1), (0.6, 0.7)]",2,0,1.000,2.773,0.096,21
"[(0.3, 0.4), (0.0, 0.1), (0.5, 0.6)]",3,2,0.200,0.201,0.654,20
"[(0.3, 0.4), (0.1, 0.2), (0.5, 0.6)]",5,4,0.111,0.111,0.739,19
"[(0.3, 0.4), (0.1, 0.2), (0.4, 0.5)]",4,8,-0.333,1.359,0.244,18
"[(0.3, 0.4), (0.2, 0.3), (0.4, 0.5)]",8,9,-0.059,0.059,0.808,17
"[(0.3, 0.4), (0.2, 0.3), (0.3, 0.4)]",15,23,-0.211,1.697,0.193,16
"[(0.4, 0.5), (0.0, 0.1), (0.5, 0.6)]",0,1,-1.000,1.386,0.239,15
"[(0.4, 0.5), (0.0, 0.1), (0.4, 0.5)]",4,3,0.143,0.143,0.705,14
"[(0.4, 0.5), (0.1, 0.2), (0.4, 0.5)]",8,9,-0.059,0.059,0.808,13
"[(0.4, 0.5), (0.1, 0.2), (0.3, 0.4)]",12,11,0.043,0.043,0.835,12
"[(0.4, 0.5), (0.2, 0.3), (0.3, 0.4)]",21,16,0.135,0.678,0.410,11
"[(0.5, 0.6), (0.0, 0.1), (0.4, 0.5)]",5,0,1.000,6.931,0.008,10
"[(0.5, 0.6), (0.0, 0.1), (0.3, 0.4)]",5,3,0.250,0.505,0.477,9
"[(0.5, 0.6), (0.1, 0.2), (0.3, 0.4)]",8,7,0.067,0.067,0.796,8
"[(0.5, 0.6), (0.1, 0.2), (0.2, 0.3)]",16,9,0.280,1.986,0.159,7
"[(0.6, 0.7), (0.0, 0.1), (0.3, 0.4)]",5,4,0.111,0.111,0.739,6
"[(0.6, 0.7), (0.0, 0.1), (0.2, 0.3)]",5,2,0.429,1.328,0.249,5
"[(0.6, 0.7), (0.1, 0.2), (0.2, 0.3)]",18,15,0.091,0.273,0.601,4
"[(0.7, 0.8), (0.0, 0.1), (0.2, 0.3)]",3,1,0.500,1.046,0.306,3
"[(0.7, 0.8), (0.0, 0.1), (0.1, 0.2)]",6,6,0.000,-0.000,1.000,2
"[(0.8, 0.9), (0.0, 0.1), (0.1, 0.2)]",10,5,0.333,1.699,0.192,1
