"coord. (T1, T2, T3)",n_right,n_left,D-LR,g-test,p-value(g-test),index
main subtriangle,1869,3090,-0.246,,0.000,NA
"[(0.0, 0.1), (0.0, 0.1), (0.9, 1.0)]",0,0,,,,45
"[(0.0, 0.1), (0.0, 0.1), (0.8, 0.9)]",0,3,-1.000,4.159,0.041,44
"[(0.0, 0.1), (0.1, 0.2), (0.8, 0.9)]",0,1,-1.000,1.386,0.239,43
"[(0.0, 0.1), (0.1, 0.2), (0.7, 0.8)]",0,3,-1.000,4.159,0.041,42
"[(0.0, 0.1), (0.2, 0.3), (0.7, 0.8)]",0,1,-1.000,1.386,0.239,41
"[(0.0, 0.1), (0.2, 0.3), (0.6, 0.7)]",1,0,1.000,1.386,0.239,40
"[(0.0, 0.1), (0.3, 0.4), (0.6, 0.7)]",0,0,,,,39
"[(0.0, 0.1), (0.3, 0.4), (0.5, 0.6)]",0,0,,,,38
"[(0.0, 0.1), (0.4, 0.5), (0.5, 0.6)]",1,1,0.000,-0.000,1.000,37
"[(0.1, 0.2), (0.0, 0.1), (0.8, 0.9)]",0,1,-1.000,1.386,0.239,36
"[(0.1, 0.2), (0.0, 0.1), (0.7, 0.8)]",0,1,-1.000,1.386,0.239,35
"[(0.1, 0.2), (0.1, 0.2), (0.7, 0.8)]",2,5,-0.429,1.328,0.249,34
"[(0.1, 0.2), (0.1, 0.2), (0.6, 0.7)]",6,30,-0.667,17.466,0.000,33
"[(0.1, 0.2), (0.2, 0.3), (0.6, 0.7)]",3,13,-0.625,6.738,0.009,32
"[(0.1, 0.2), (0.2, 0.3), (0.5, 0.6)]",23,68,-0.495,23.262,0.000,31
"[(0.1, 0.2), (0.3, 0.4), (0.5, 0.6)]",7,23,-0.533,8.992,0.003,30
"[(0.1, 0.2), (0.3, 0.4), (0.4, 0.5)]",29,38,-0.134,1.213,0.271,29
"[(0.2, 0.3), (0.0, 0.1), (0.7, 0.8)]",0,0,,,,28
"[(0.2, 0.3), (0.0, 0.1), (0.6, 0.7)]",0,3,-1.000,4.159,0.041,27
"[(0.2, 0.3), (0.1, 0.2), (0.6, 0.7)]",2,17,-0.789,13.553,0.000,26
"[(0.2, 0.3), (0.1, 0.2), (0.5, 0.6)]",13,52,-0.600,25.057,0.000,25
"[(0.2, 0.3), (0.2, 0.3), (0.5, 0.6)]",46,163,-0.560,69.437,0.000,24
"[(0.2, 0.3), (0.2, 0.3), (0.4, 0.5)]",199,434,-0.371,,0.000,23
"[(0.2, 0.3), (0.3, 0.4), (0.4, 0.5)]",204,292,-0.177,15.696,0.000,22
"[(0.3, 0.4), (0.0, 0.1), (0.6, 0.7)]",0,0,,,,21
"[(0.3, 0.4), (0.0, 0.1), (0.5, 0.6)]",1,0,1.000,1.386,0.239,20
"[(0.3, 0.4), (0.1, 0.2), (0.5, 0.6)]",3,16,-0.684,9.765,0.002,19
"[(0.3, 0.4), (0.1, 0.2), (0.4, 0.5)]",12,32,-0.455,9.433,0.002,18
"[(0.3, 0.4), (0.2, 0.3), (0.4, 0.5)]",121,280,-0.397,64.810,0.000,17
"[(0.3, 0.4), (0.2, 0.3), (0.3, 0.4)]",327,499,-0.208,36.079,0.000,16
"[(0.4, 0.5), (0.0, 0.1), (0.5, 0.6)]",0,1,-1.000,1.386,0.239,15
"[(0.4, 0.5), (0.0, 0.1), (0.4, 0.5)]",0,1,-1.000,1.386,0.239,14
"[(0.4, 0.5), (0.1, 0.2), (0.4, 0.5)]",3,9,-0.500,3.139,0.076,13
"[(0.4, 0.5), (0.1, 0.2), (0.3, 0.4)]",9,22,-0.419,5.624,0.018,12
"[(0.4, 0.5), (0.2, 0.3), (0.3, 0.4)]",132,175,-0.140,6.043,0.014,11
"[(0.5, 0.6), (0.0, 0.1), (0.4, 0.5)]",0,0,,,,10
"[(0.5, 0.6), (0.0, 0.1), (0.3, 0.4)]",0,0,,,,9
"[(0.5, 0.6), (0.1, 0.2), (0.3, 0.4)]",3,3,0.000,-0.000,1.000,8
"[(0.5, 0.6), (0.1, 0.2), (0.2, 0.3)]",10,27,-0.459,8.112,0.004,7
"[(0.6, 0.7), (0.0, 0.1), (0.3, 0.4)]",0,0,,,,6
"[(0.6, 0.7), (0.0, 0.1), (0.2, 0.3)]",0,1,-1.000,1.386,0.239,5
"[(0.6, 0.7), (0.1, 0.2), (0.2, 0.3)]",0,3,-1.000,4.159,0.041,4
"[(0.7, 0.8), (0.0, 0.1), (0.2, 0.3)]",0,0,,,,3
"[(0.7, 0.8), (0.0, 0.1), (0.1, 0.2)]",0,0,,,,2
"[(0.8, 0.9), (0.0, 0.1), (0.1, 0.2)]",0,0,,,,1
