"coord. (T1, T2, T3)",n_right,n_left,D-LR,g-test,p-value(g-test),index
main subtriangle,6024,3938,0.209,,0.000,NA
"[(0.0, 0.1), (0.0, 0.1), (0.9, 1.0)]",0,0,,,,45
"[(0.0, 0.1), (0.0, 0.1), (0.8, 0.9)]",4,0,1.000,5.545,0.019,44
"[(0.0, 0.1), (0.1, 0.2), (0.8, 0.9)]",0,0,,,,43
"[(0.0, 0.1), (0.1, 0.2), (0.7, 0.8)]",6,0,1.000,8.318,0.004,42
"[(0.0, 0.1), (0.2, 0.3), (0.7, 0.8)]",0,1,-1.000,1.386,0.239,41
"[(0.0, 0.1), (0.2, 0.3), (0.6, 0.7)]",2,3,-0.200,0.201,0.654,40
"[(0.0, 0.1), (0.3, 0.4), (0.6, 0.7)]",0,0,,,,39
"[(0.0, 0.1), (0.3, 0.4), (0.5, 0.6)]",1,0,1.000,1.386,0.239,38
"[(0.0, 0.1), (0.4, 0.5), (0.5, 0.6)]",0,0,,,,37
"[(0.1, 0.2), (0.0, 0.1), (0.8, 0.9)]",1,0,1.000,1.386,0.239,36
"[(0.1, 0.2), (0.0, 0.1), (0.7, 0.8)]",7,0,1.000,9.704,0.002,35
"[(0.1, 0.2), (0.1, 0.2), (0.7, 0.8)]",17,2,0.789,13.553,0.000,34
"[(0.1, 0.2), (0.1, 0.2), (0.6, 0.7)]",60,9,0.739,42.219,0.000,33
"[(0.1, 0.2), (0.2, 0.3), (0.6, 0.7)]",34,7,0.659,19.360,0.000,32
"[(0.1, 0.2), (0.2, 0.3), (0.5, 0.6)]",100,40,0.429,26.566,0.000,31
"[(0.1, 0.2), (0.3, 0.4), (0.5, 0.6)]",27,18,0.200,1.812,0.178,30
"[(0.1, 0.2), (0.3, 0.4), (0.4, 0.5)]",77,51,0.203,5.318,0.021,29
"[(0.2, 0.3), (0.0, 0.1), (0.7, 0.8)]",0,0,,,,28
"[(0.2, 0.3), (0.0, 0.1), (0.6, 0.7)]",6,0,1.000,8.318,0.004,27
"[(0.2, 0.3), (0.1, 0.2), (0.6, 0.7)]",33,11,0.500,11.511,0.001,26
"[(0.2, 0.3), (0.1, 0.2), (0.5, 0.6)]",117,32,0.570,51.538,0.000,25
"[(0.2, 0.3), (0.2, 0.3), (0.5, 0.6)]",286,103,0.470,,0.000,24
"[(0.2, 0.3), (0.2, 0.3), (0.4, 0.5)]",692,344,0.336,,0.000,23
"[(0.2, 0.3), (0.3, 0.4), (0.4, 0.5)]",469,365,0.125,13.003,0.000,22
"[(0.3, 0.4), (0.0, 0.1), (0.6, 0.7)]",0,0,,,,21
"[(0.3, 0.4), (0.0, 0.1), (0.5, 0.6)]",1,0,1.000,1.386,0.239,20
"[(0.3, 0.4), (0.1, 0.2), (0.5, 0.6)]",28,7,0.600,13.492,0.000,19
"[(0.3, 0.4), (0.1, 0.2), (0.4, 0.5)]",90,40,0.385,19.735,0.000,18
"[(0.3, 0.4), (0.2, 0.3), (0.4, 0.5)]",543,283,0.315,,0.000,17
"[(0.3, 0.4), (0.2, 0.3), (0.3, 0.4)]",1088,735,0.194,68.788,0.000,16
"[(0.4, 0.5), (0.0, 0.1), (0.5, 0.6)]",2,0,1.000,2.773,0.096,15
"[(0.4, 0.5), (0.0, 0.1), (0.4, 0.5)]",5,0,1.000,6.931,0.008,14
"[(0.4, 0.5), (0.1, 0.2), (0.4, 0.5)]",35,8,0.628,18.293,0.000,13
"[(0.4, 0.5), (0.1, 0.2), (0.3, 0.4)]",101,26,0.591,47.311,0.000,12
"[(0.4, 0.5), (0.2, 0.3), (0.3, 0.4)]",411,307,0.145,15.117,0.000,11
"[(0.5, 0.6), (0.0, 0.1), (0.4, 0.5)]",0,0,,,,10
"[(0.5, 0.6), (0.0, 0.1), (0.3, 0.4)]",0,1,-1.000,1.386,0.239,9
"[(0.5, 0.6), (0.1, 0.2), (0.3, 0.4)]",23,11,0.353,4.328,0.037,8
"[(0.5, 0.6), (0.1, 0.2), (0.2, 0.3)]",54,42,0.125,1.504,0.220,7
"[(0.6, 0.7), (0.0, 0.1), (0.3, 0.4)]",0,0,,,,6
"[(0.6, 0.7), (0.0, 0.1), (0.2, 0.3)]",3,0,1.000,4.159,0.041,5
"[(0.6, 0.7), (0.1, 0.2), (0.2, 0.3)]",26,13,0.333,4.417,0.036,4
"[(0.7, 0.8), (0.0, 0.1), (0.2, 0.3)]",0,0,,,,3
"[(0.7, 0.8), (0.0, 0.1), (0.1, 0.2)]",1,0,1.000,1.386,0.239,2
"[(0.8, 0.9), (0.0, 0.1), (0.1, 0.2)]",0,0,,,,1
