"coord. (T1, T2, T3)",n_right,n_left,D-LR,g-test,p-value(g-test),index
"[(0.0, 0.1), (0.0, 0.1), (0.9, 1.0)]",0,0,,,,45
"[(0.0, 0.1), (0.0, 0.1), (0.8, 0.9)]",22,2,0.8333333333333334,19.502937480181664,1.0044509971107729e-05,44
"[(0.0, 0.1), (0.1, 0.2), (0.8, 0.9)]",9,1,0.8,7.361284143369939,0.0066643179003599284,43
"[(0.0, 0.1), (0.1, 0.2), (0.7, 0.8)]",43,9,0.6538461538461539,24.171212387464184,8.813996738021856e-07,42
"[(0.0, 0.1), (0.2, 0.3), (0.7, 0.8)]",6,2,0.5,2.0929925750581906,0.14797595938502317,41
"[(0.0, 0.1), (0.2, 0.3), (0.6, 0.7)]",15,10,0.2,1.0067756775344445,0.31567652793189094,40
"[(0.0, 0.1), (0.3, 0.4), (0.6, 0.7)]",2,1,0.3333333333333333,0.33979807359079495,0.5599458008536307,39
"[(0.0, 0.1), (0.3, 0.4), (0.5, 0.6)]",30,14,0.36363636363636365,5.953712233424771,0.014686326891754864,38
"[(0.0, 0.1), (0.4, 0.5), (0.5, 0.6)]",1,1,0.0,-0.0,1.0,37
"[(0.1, 0.2), (0.0, 0.1), (0.8, 0.9)]",31,0,1.0,42.975125194716604,5.544031900228674e-11,36
"[(0.1, 0.2), (0.0, 0.1), (0.7, 0.8)]",39,3,0.8571428571428571,36.60959736135355,1.4431942307879808e-09,35
"[(0.1, 0.2), (0.1, 0.2), (0.7, 0.8)]",89,3,0.9347826086956522,,0.0,34
"[(0.1, 0.2), (0.1, 0.2), (0.6, 0.7)]",250,22,0.8382352941176471,,0.0,33
"[(0.1, 0.2), (0.2, 0.3), (0.6, 0.7)]",119,9,0.859375,,0.0,32
"[(0.1, 0.2), (0.2, 0.3), (0.5, 0.6)]",193,101,0.3129251700680272,29.278396293323297,6.269074559472898e-08,31
"[(0.1, 0.2), (0.3, 0.4), (0.5, 0.6)]",84,64,0.13513513513513514,2.7109892872804338,0.09965917108712108,30
"[(0.1, 0.2), (0.3, 0.4), (0.4, 0.5)]",225,150,0.2,15.10163516301663,0.00010187500711977826,29
"[(0.2, 0.3), (0.0, 0.1), (0.7, 0.8)]",23,6,0.5862068965517241,10.633225896738885,0.0011107378907834198,28
"[(0.2, 0.3), (0.0, 0.1), (0.6, 0.7)]",31,1,0.9375,35.46152845473307,2.6013813325675983e-09,27
"[(0.2, 0.3), (0.1, 0.2), (0.6, 0.7)]",133,18,0.7615894039735099,,0.0,26
"[(0.2, 0.3), (0.1, 0.2), (0.5, 0.6)]",266,50,0.6835443037974683,,0.0,25
"[(0.2, 0.3), (0.2, 0.3), (0.5, 0.6)]",584,186,0.5168831168831168,,0.0,24
"[(0.2, 0.3), (0.2, 0.3), (0.4, 0.5)]",958,339,0.4772552043176561,,0.0,23
"[(0.2, 0.3), (0.3, 0.4), (0.4, 0.5)]",785,438,0.2837285363859362,,0.0,22
"[(0.3, 0.4), (0.0, 0.1), (0.6, 0.7)]",3,0,1.0,4.158883083359672,0.041416706487368504,21
"[(0.3, 0.4), (0.0, 0.1), (0.5, 0.6)]",11,0,1.0,15.249237972318797,9.421476071436174e-05,20
"[(0.3, 0.4), (0.1, 0.2), (0.5, 0.6)]",92,15,0.719626168224299,61.59873027507009,4.218847493575595e-15,19
"[(0.3, 0.4), (0.1, 0.2), (0.4, 0.5)]",225,49,0.6423357664233577,,0.0,18
"[(0.3, 0.4), (0.2, 0.3), (0.4, 0.5)]",803,235,0.5472061657032755,,0.0,17
"[(0.3, 0.4), (0.2, 0.3), (0.3, 0.4)]",940,469,0.33427963094393187,,0.0,16
"[(0.4, 0.5), (0.0, 0.1), (0.5, 0.6)]",4,1,0.6,1.9274475702175744,0.16503796424971706,15
"[(0.4, 0.5), (0.0, 0.1), (0.4, 0.5)]",2,1,0.3333333333333333,0.33979807359079495,0.5599458008536307,14
"[(0.4, 0.5), (0.1, 0.2), (0.4, 0.5)]",75,11,0.7441860465116279,53.45049313271798,2.652322805829499e-13,13
"[(0.4, 0.5), (0.1, 0.2), (0.3, 0.4)]",79,46,0.264,8.81612998119718,0.0029857924947694903,12
"[(0.4, 0.5), (0.2, 0.3), (0.3, 0.4)]",385,204,0.3073005093378608,56.53165924808056,5.5289106626332796e-14,11
"[(0.5, 0.6), (0.0, 0.1), (0.4, 0.5)]",0,0,,,,10
"[(0.5, 0.6), (0.0, 0.1), (0.3, 0.4)]",4,5,-0.1111111111111111,0.11134087132719632,0.7386227066727546,9
"[(0.5, 0.6), (0.1, 0.2), (0.3, 0.4)]",26,7,0.5757575757575758,11.641976924060144,0.0006448003874508501,8
"[(0.5, 0.6), (0.1, 0.2), (0.2, 0.3)]",94,24,0.5932203389830508,44.38716616171233,2.6944779740745162e-11,7
"[(0.6, 0.7), (0.0, 0.1), (0.3, 0.4)]",1,0,1.0,1.3862943611198901,0.2390318914495121,6
"[(0.6, 0.7), (0.0, 0.1), (0.2, 0.3)]",8,6,0.14285714285714285,0.2866941240652596,0.5923468435899681,5
"[(0.6, 0.7), (0.1, 0.2), (0.2, 0.3)]",24,8,0.5,8.371970300232766,0.0038105227112050777,4
"[(0.7, 0.8), (0.0, 0.1), (0.2, 0.3)]",3,0,1.0,4.158883083359672,0.041416706487368504,3
"[(0.7, 0.8), (0.0, 0.1), (0.1, 0.2)]",0,0,,,,2
"[(0.8, 0.9), (0.0, 0.1), (0.1, 0.2)]",0,0,,,,1
