"coord. (T1, T2, T3)",n_right,n_left,D-LR,g-test,p-value(g-test),index
"[(0.0, 0.1), (0.0, 0.1), (0.9, 1.0)]",18,1,0.8947368421052632,18.504294937215107,1.6952185742824533e-05,45
"[(0.0, 0.1), (0.0, 0.1), (0.8, 0.9)]",0,0,,,,44
"[(0.0, 0.1), (0.1, 0.2), (0.8, 0.9)]",0,0,,,,43
"[(0.0, 0.1), (0.1, 0.2), (0.7, 0.8)]",0,1,-1.0,1.3862943611198906,0.23903189144951187,42
"[(0.0, 0.1), (0.2, 0.3), (0.7, 0.8)]",0,0,,,,41
"[(0.0, 0.1), (0.2, 0.3), (0.6, 0.7)]",0,1,-1.0,1.3862943611198906,0.23903189144951187,40
"[(0.0, 0.1), (0.3, 0.4), (0.6, 0.7)]",0,2,-1.0,2.772588722239781,0.09589096714246559,39
"[(0.0, 0.1), (0.3, 0.4), (0.5, 0.6)]",0,0,,,,38
"[(0.0, 0.1), (0.4, 0.5), (0.5, 0.6)]",0,1,-1.0,1.3862943611198906,0.23903189144951187,37
"[(0.1, 0.2), (0.0, 0.1), (0.8, 0.9)]",0,0,,,,36
"[(0.1, 0.2), (0.0, 0.1), (0.7, 0.8)]",0,0,,,,35
"[(0.1, 0.2), (0.1, 0.2), (0.7, 0.8)]",0,0,,,,34
"[(0.1, 0.2), (0.1, 0.2), (0.6, 0.7)]",0,0,,,,33
"[(0.1, 0.2), (0.2, 0.3), (0.6, 0.7)]",0,0,,,,32
"[(0.1, 0.2), (0.2, 0.3), (0.5, 0.6)]",0,0,,,,31
"[(0.1, 0.2), (0.3, 0.4), (0.5, 0.6)]",0,0,,,,30
"[(0.1, 0.2), (0.3, 0.4), (0.4, 0.5)]",0,0,,,,29
"[(0.2, 0.3), (0.0, 0.1), (0.7, 0.8)]",0,0,,,,28
"[(0.2, 0.3), (0.0, 0.1), (0.6, 0.7)]",0,0,,,,27
"[(0.2, 0.3), (0.1, 0.2), (0.6, 0.7)]",0,0,,,,26
"[(0.2, 0.3), (0.1, 0.2), (0.5, 0.6)]",0,0,,,,25
"[(0.2, 0.3), (0.2, 0.3), (0.5, 0.6)]",0,1,-1.0,1.3862943611198906,0.23903189144951187,24
"[(0.2, 0.3), (0.2, 0.3), (0.4, 0.5)]",0,0,,,,23
"[(0.2, 0.3), (0.3, 0.4), (0.4, 0.5)]",0,0,,,,22
"[(0.3, 0.4), (0.0, 0.1), (0.6, 0.7)]",1,0,1.0,1.3862943611198906,0.23903189144951187,21
"[(0.3, 0.4), (0.0, 0.1), (0.5, 0.6)]",0,0,,,,20
"[(0.3, 0.4), (0.1, 0.2), (0.5, 0.6)]",0,0,,,,19
"[(0.3, 0.4), (0.1, 0.2), (0.4, 0.5)]",0,0,,,,18
"[(0.3, 0.4), (0.2, 0.3), (0.4, 0.5)]",0,0,,,,17
"[(0.3, 0.4), (0.2, 0.3), (0.3, 0.4)]",0,0,,,,16
"[(0.4, 0.5), (0.0, 0.1), (0.5, 0.6)]",3,0,1.0,4.1588830833596715,0.04141670648736839,15
"[(0.4, 0.5), (0.0, 0.1), (0.4, 0.5)]",0,0,,,,14
"[(0.4, 0.5), (0.1, 0.2), (0.4, 0.5)]",0,0,,,,13
"[(0.4, 0.5), (0.1, 0.2), (0.3, 0.4)]",0,0,,,,12
"[(0.4, 0.5), (0.2, 0.3), (0.3, 0.4)]",0,0,,,,11
"[(0.5, 0.6), (0.0, 0.1), (0.4, 0.5)]",1,0,1.0,1.3862943611198906,0.23903189144951187,10
"[(0.5, 0.6), (0.0, 0.1), (0.3, 0.4)]",0,0,,,,9
"[(0.5, 0.6), (0.1, 0.2), (0.3, 0.4)]",0,0,,,,8
"[(0.5, 0.6), (0.1, 0.2), (0.2, 0.3)]",0,0,,,,7
"[(0.6, 0.7), (0.0, 0.1), (0.3, 0.4)]",0,0,,,,6
"[(0.6, 0.7), (0.0, 0.1), (0.2, 0.3)]",0,0,,,,5
"[(0.6, 0.7), (0.1, 0.2), (0.2, 0.3)]",0,0,,,,4
"[(0.7, 0.8), (0.0, 0.1), (0.2, 0.3)]",1,0,1.0,1.3862943611198906,0.23903189144951187,3
"[(0.7, 0.8), (0.0, 0.1), (0.1, 0.2)]",0,0,,,,2
"[(0.8, 0.9), (0.0, 0.1), (0.1, 0.2)]",1,0,1.0,1.3862943611198906,0.23903189144951187,1
