"coord. (T1, T2, T3)",n_right,n_left,D-LR,g-test,p-value(g-test),index
main subtriangle,2456,3286,-0.145,,0.000,NA
"[(0.0, 0.1), (0.0, 0.1), (0.9, 1.0)]",0,0,,,,45
"[(0.0, 0.1), (0.0, 0.1), (0.8, 0.9)]",0,0,,,,44
"[(0.0, 0.1), (0.1, 0.2), (0.8, 0.9)]",0,0,,,,43
"[(0.0, 0.1), (0.1, 0.2), (0.7, 0.8)]",0,3,-1.000,4.159,0.041,42
"[(0.0, 0.1), (0.2, 0.3), (0.7, 0.8)]",0,0,,,,41
"[(0.0, 0.1), (0.2, 0.3), (0.6, 0.7)]",0,0,,,,40
"[(0.0, 0.1), (0.3, 0.4), (0.6, 0.7)]",0,0,,,,39
"[(0.0, 0.1), (0.3, 0.4), (0.5, 0.6)]",0,0,,,,38
"[(0.0, 0.1), (0.4, 0.5), (0.5, 0.6)]",0,0,,,,37
"[(0.1, 0.2), (0.0, 0.1), (0.8, 0.9)]",0,0,,,,36
"[(0.1, 0.2), (0.0, 0.1), (0.7, 0.8)]",0,0,,,,35
"[(0.1, 0.2), (0.1, 0.2), (0.7, 0.8)]",17,1,0.889,17.229,0.000,34
"[(0.1, 0.2), (0.1, 0.2), (0.6, 0.7)]",16,23,-0.179,1.263,0.261,33
"[(0.1, 0.2), (0.2, 0.3), (0.6, 0.7)]",38,11,0.551,15.740,0.000,32
"[(0.1, 0.2), (0.2, 0.3), (0.5, 0.6)]",45,35,0.125,1.253,0.263,31
"[(0.1, 0.2), (0.3, 0.4), (0.5, 0.6)]",13,12,0.040,0.040,0.841,30
"[(0.1, 0.2), (0.3, 0.4), (0.4, 0.5)]",44,72,-0.241,6.826,0.009,29
"[(0.2, 0.3), (0.0, 0.1), (0.7, 0.8)]",0,0,,,,28
"[(0.2, 0.3), (0.0, 0.1), (0.6, 0.7)]",0,0,,,,27
"[(0.2, 0.3), (0.1, 0.2), (0.6, 0.7)]",37,6,0.721,24.856,0.000,26
"[(0.2, 0.3), (0.1, 0.2), (0.5, 0.6)]",22,53,-0.413,13.206,0.000,25
"[(0.2, 0.3), (0.2, 0.3), (0.5, 0.6)]",103,146,-0.173,7.463,0.006,24
"[(0.2, 0.3), (0.2, 0.3), (0.4, 0.5)]",322,404,-0.113,9.282,0.002,23
"[(0.2, 0.3), (0.3, 0.4), (0.4, 0.5)]",278,327,-0.081,3.973,0.046,22
"[(0.3, 0.4), (0.0, 0.1), (0.6, 0.7)]",0,0,,,,21
"[(0.3, 0.4), (0.0, 0.1), (0.5, 0.6)]",0,0,,,,20
"[(0.3, 0.4), (0.1, 0.2), (0.5, 0.6)]",22,30,-0.154,1.236,0.266,19
"[(0.3, 0.4), (0.1, 0.2), (0.4, 0.5)]",36,42,-0.077,0.462,0.497,18
"[(0.3, 0.4), (0.2, 0.3), (0.4, 0.5)]",242,260,-0.036,0.646,0.422,17
"[(0.3, 0.4), (0.2, 0.3), (0.3, 0.4)]",288,561,-0.322,,0.000,16
"[(0.4, 0.5), (0.0, 0.1), (0.5, 0.6)]",0,6,-1.000,8.318,0.004,15
"[(0.4, 0.5), (0.0, 0.1), (0.4, 0.5)]",0,1,-1.000,1.386,0.239,14
"[(0.4, 0.5), (0.1, 0.2), (0.4, 0.5)]",16,18,-0.059,0.118,0.732,13
"[(0.4, 0.5), (0.1, 0.2), (0.3, 0.4)]",19,37,-0.321,5.890,0.015,12
"[(0.4, 0.5), (0.2, 0.3), (0.3, 0.4)]",144,288,-0.333,48.931,0.000,11
"[(0.5, 0.6), (0.0, 0.1), (0.4, 0.5)]",0,0,,,,10
"[(0.5, 0.6), (0.0, 0.1), (0.3, 0.4)]",0,0,,,,9
"[(0.5, 0.6), (0.1, 0.2), (0.3, 0.4)]",0,14,-1.000,19.408,0.000,8
"[(0.5, 0.6), (0.1, 0.2), (0.2, 0.3)]",1,17,-0.889,17.229,0.000,7
"[(0.6, 0.7), (0.0, 0.1), (0.3, 0.4)]",0,0,,,,6
"[(0.6, 0.7), (0.0, 0.1), (0.2, 0.3)]",0,0,,,,5
"[(0.6, 0.7), (0.1, 0.2), (0.2, 0.3)]",0,0,,,,4
"[(0.7, 0.8), (0.0, 0.1), (0.2, 0.3)]",0,0,,,,3
"[(0.7, 0.8), (0.0, 0.1), (0.1, 0.2)]",0,0,,,,2
"[(0.8, 0.9), (0.0, 0.1), (0.1, 0.2)]",0,0,,,,1
